Document,Total_chars,miles,payment,rate,charge,revenue,breach,standard,total,refund,profit,dispute,cancellation,compliance,premium,penalty,liability,violation,delay,points,requirement,margin,regulation,enforce,restriction,prohibition,price,loyalty,markup,limit,commission,fare,fee,income,tax,billing,surcharge,proration,audit,risk,discount,cost,obligation,accountability,transparency,compensation,condition,amount,settlement,yield,consent,invoice,tariff,disclosure,fraud,Total_keyword_hits,Hits_per_1k_chars
PCI DSS v4.0.1,805366,0,616,1,0,0,11,451,1,0,0,0,0,155,0,0,0,0,2,48,892,0,5,4,1,0,0,0,1,13,0,0,0,0,0,2,0,0,104,240,0,2,1,25,0,0,0,11,3,1,1,0,0,14,5,2610,3.24
SIS IS-XML Handbook,208620,0,18,29,57,1,0,5,66,0,0,7,0,14,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,9,0,0,0,0,257,410,0,0,8,0,0,3,0,0,0,0,0,56,39,0,0,435,0,0,0,1419,6.8
ATPCO Composite,16359,0,1,0,2,3,0,0,2,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,49,1,5,0,0,0,0,0,5,2,11,0,0,1,0,0,2,0,2,0,0,6,1,0,103,6.3
AIDM Glossary (RP1008),202075,2,64,51,43,8,0,22,13,3,1,0,11,0,8,1,2,0,2,34,12,0,0,0,6,0,31,4,4,18,1,196,8,2,16,1,1,10,1,0,3,4,2,0,0,3,12,47,8,0,2,2,117,3,0,779,3.86
