Dimension,k,Mode,Mode_n,Mode_pct,Q1,Q3,IQR
Source Category,3,Industry Schema,131,74.9,22.0,76.5,54.5
MAS Function,4,Revenue Management,84,48.0,16.2,66.0,49.8
Actor Type,6,Carrier,74,42.3,11.8,34.5,22.8
Valuation Type (primary),5,Cost,47,26.9,31.0,44.0,13.0
Data Access (OBSERVED vs MNAR),2,OBSERVED,125,71.4,68.8,106.2,37.5
AIDM Domain,10,Shopping,40,22.9,4.5,25.5,21.0
