Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Val_Primary,Data Access,Source,Subject_Area,N_AIDM_Elements,Coding_Source
Bag Status (CHECKED_IN / LOADED / MISHANDLED),SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Risk,Risk,OBSERVED,M3_PoC_Schema,Baggage,1,Manual schema coding (M2/M3)
Bag Event Code,SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Risk,Risk,OBSERVED,M3_PoC_Schema,Baggage,1,Manual schema coding (M2/M3)
PNR (Passenger Name Record),SITA BagJourney API,Vendor API,Distribution / GDS,Carrier,Carrier,Risk,Risk,MNAR,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
frequent_flyer (bag event),SITA BagJourney API,Vendor API,Revenue Management,Carrier,Carrier,Option,Option,MNAR,M3_PoC_Schema,Loyalty Accounts,1,Manual schema coding (M2/M3)
Outbound / Inbound Flight Info,SITA BagJourney API,Vendor API,Distribution / GDS,SITA,Vendor,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Flight Number (SSIM Chapter 7),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Service Type Code (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Aircraft Type Code (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Period of Operation (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Days of Operation (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Departure Time / Arrival Time (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Codeshare Indicator (SSIM),IATA SSIM (public structure),Industry Schema,Workforce Management,Carrier,Carrier,Market,Market,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Release Sell Date (SSIM),IATA SSIM (public structure),Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Minimum Connect Time (SSIM),IATA SSIM (public structure),Industry Schema,Distribution / GDS,Airport,Airport,Market/Cost,Market,OBSERVED,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Transaction Price (IFRS 15 via IATA IAWG),IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
SSP — Points Component,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Deferred Revenue Liability,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Cost,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Breakage Estimate,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,MNAR,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Partner Airline Agency Fee,IATA IAWG IFRS 15 Loyalty Guide,Industry Schema,Distribution / GDS,Carrier,Carrier,Cost,Cost,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Service Charge Rate (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost,Cost,MNAR,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Payment Terms — 30 days (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,IATA,Industry Body,Cost,Cost,OBSERVED,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
Liability Limit (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Risk,Risk,MNAR,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Minimum Wage Adjustment (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Risk/Cost,Risk,MNAR,M3_PoC_Schema,Flights,1,Manual schema coding (M2/M3)
Audit Right (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Section 2 Passenger Services Fee (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost/Income,Cost,MNAR,M3_PoC_Schema,Parties,1,Manual schema coding (M2/M3)
Baggage Handling Rate (SGHA),IATA SGHA 2023,Industry Schema,Workforce Management,Ground Handler,Vendor,Cost,Cost,MNAR,M3_PoC_Schema,Baggage,1,Manual schema coding (M2/M3)
EMD Number,IATA EMD Resolution 725,Industry Schema,Revenue Management,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Service Code (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,IATA,Industry Body,Income/Market,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Ancillary Charge Amount,IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
EMD-A (Associated),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
EMD-S (Standalone),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Change Fee (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income/Risk,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Upgrade Fee (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income/Option,Income,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Refund Amount (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Cost/Risk,Cost,OBSERVED,M3_PoC_Schema,Payments,1,Manual schema coding (M2/M3)
Coupon Status (EMD),IATA EMD Resolution 725,Industry Schema,Revenue Management,Carrier,Carrier,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Aircraft Group,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,16,AIDM RP1008 systematic coding — ABIE level
Aircraft Group Configuration,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Aircraft Load Calculations,6,AIDM RP1008 systematic coding — ABIE level
Airline Load Information,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,2,AIDM RP1008 systematic coding — ABIE level
Baggage Standard Weights,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,6,AIDM RP1008 systematic coding — ABIE level
Balance Output Requirement,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,MNAR,M4_AIDM_Full,Aircraft Load Calculations,5,AIDM RP1008 systematic coding — ABIE level
Cabin Layout,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,1,AIDM RP1008 systematic coding — ABIE level
Cabin Type,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,3,AIDM RP1008 systematic coding — ABIE level
Carrier,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,7,AIDM RP1008 systematic coding — ABIE level
Crew Baggage Standard Weights,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,3,AIDM RP1008 systematic coding — ABIE level
Crew Standard Weights,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,7,AIDM RP1008 systematic coding — ABIE level
DOW Configuration,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,1,AIDM RP1008 systematic coding — ABIE level
Hold Layout,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,1,AIDM RP1008 systematic coding — ABIE level
IATA Aircraft Type,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,3,AIDM RP1008 systematic coding — ABIE level
Passenger Standard Weights,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,10,AIDM RP1008 systematic coding — ABIE level
Passenger Trim Output Requirement,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,1,AIDM RP1008 systematic coding — ABIE level
Supplementary Information Requirement,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,5,AIDM RP1008 systematic coding — ABIE level
SWA,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Load Calculations,5,AIDM RP1008 systematic coding — ABIE level
Aircraft,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Activity,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,1,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Activity Event,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Activity Specification,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Event Specification,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Issue,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,3,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Service,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,1,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Service Category,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Aircraft Turnaround Service Type Specification,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Asymmetrical Load Limitation,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Asymmetrical Load Limitation Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Bay Grouping,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,8,AIDM RP1008 systematic coding — ABIE level
Cabin Component,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Aircraft Technical Details,16,AIDM RP1008 systematic coding — ABIE level
Cabin Crew Distribution Element,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,3,AIDM RP1008 systematic coding — ABIE level
Cabin Crew Location,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Cargo Heating Device,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Cargo Ventilation Device,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Center Of Gravity Limit,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Center Of Gravity Limit Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Combined Load Limitation,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,1,AIDM RP1008 systematic coding — ABIE level
Combined Load Limitation Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Crew Distribution,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,1,AIDM RP1008 systematic coding — ABIE level
Cumulative Load Limitation,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Cumulative Load Limitation Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Curtailment,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Curtailment Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Dated Operating Leg,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Deck,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,7,AIDM RP1008 systematic coding — ABIE level
Description,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Door,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Dry Operating Aircraft,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Flight Deck Crew Distribution Element,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,3,AIDM RP1008 systematic coding — ABIE level
Flight Deck Crew Location,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Floor Load Limitation,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Floor Load Limitation Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Formula Element,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,3,AIDM RP1008 systematic coding — ABIE level
Formula Keyword,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Formula Operands,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Fuel Distribution,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,8,AIDM RP1008 systematic coding — ABIE level
Fuel Distribution Step,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Fuel Distribution Step Element,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,3,AIDM RP1008 systematic coding — ABIE level
Fuel Effect,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Fueling Procedure,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,10,AIDM RP1008 systematic coding — ABIE level
Hold,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,MNAR,M4_AIDM_Full,Aircraft Technical Details,12,AIDM RP1008 systematic coding — ABIE level
Hold Compartment,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,10,AIDM RP1008 systematic coding — ABIE level
Ideal Trim Line Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Ideal Trim Point,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,7,AIDM RP1008 systematic coding — ABIE level
Lateral Imbalance Limit,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Lateral Imbalance Limit Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Lock,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Maximum Weights,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Maximum Weights Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Minimum Weights,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Minimum Weights Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Missing Restraint Rule,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,6,AIDM RP1008 systematic coding — ABIE level
Pantry Distribution,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Potable Water Distribution,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Potable Water Distribution Element,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Potable Water Tank,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,7,AIDM RP1008 systematic coding — ABIE level
Ratio Formula,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,1,AIDM RP1008 systematic coding — ABIE level
Resource,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,1,AIDM RP1008 systematic coding — ABIE level
Running Load Limitation,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Running Load Limitation Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Special Load Limitation,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
STAB,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
STAB Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,10,AIDM RP1008 systematic coding — ABIE level
STAB Text,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,3,AIDM RP1008 systematic coding — ABIE level
Tail Assignment,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
Taxi Fuel Burn Order,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Taxi Fuel Procedure,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
Tipping Limit,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,3,AIDM RP1008 systematic coding — ABIE level
Tipping Limit Table,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,5,AIDM RP1008 systematic coding — ABIE level
Transport Turnaround,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,8,AIDM RP1008 systematic coding — ABIE level
Transport Vehicle,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,1,AIDM RP1008 systematic coding — ABIE level
ULD,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,4,AIDM RP1008 systematic coding — ABIE level
ULD Compatibility,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,2,AIDM RP1008 systematic coding — ABIE level
ULD Load Position,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,10,AIDM RP1008 systematic coding — ABIE level
ULD Type,AIDM RP1008,Industry Schema,Environmental Boundary,Carrier,Carrier,Cost,Cost,OBSERVED,M4_AIDM_Full,Aircraft Technical Details,8,AIDM RP1008 systematic coding — ABIE level
Access Gate,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Agency,AIDM RP1008,Industry Schema,Workforce Management,Vendor,Vendor,Cost,Cost,MNAR,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Agent,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Aircraft Parking Position,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Cost,Cost,PARTIAL,M4_AIDM_Full,Bags,1,AIDM RP1008 systematic coding — ABIE level
Airline,AIDM RP1008,Industry Schema,Workforce Management,Carrier,Carrier,Income,Income,OBSERVED,M4_AIDM_Full,Bags,4,AIDM RP1008 systematic coding — ABIE level
