Variable Name,Source Document,Source Category,MAS Function,Actor,Actor Type,Valuation Type,Val_Primary,Data Access,Source,Subject_Area,N_AIDM_Elements,Coding_Source
Class of Service,IATA Interline Checklist,Industry Schema,Distribution / GDS,Carrier,Carrier,Income,Income,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Settlement Method,IATA Interline Checklist,Industry Schema,Distribution / GDS,Amadeus (SIS),Vendor,Cost,Cost,MNAR,M3_PoC_Schema,Settlement with Orders,1,Manual schema coding (M2/M3)
EMD (Electronic Miscellaneous Document),IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Excess Baggage Proration Method,IATA Interline Checklist,Industry Schema,Distribution / GDS,IATA,Industry Body,Income,Income,OBSERVED,M3_PoC_Schema,Baggage,1,Manual schema coding (M2/M3)
Fare Basis Code,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,Market,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Rule Number,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Market,Market,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Tariff Type (public/private),ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Category 25 — Fare By Rule,ATPCO (composite),Industry Schema,Revenue Management,ATPCO,Industry Body,Option/Income,Option,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Category 35 — Negotiated Fare,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Option,Option,MNAR,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Category 16 — Penalties (display text),ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk,Risk,OBSERVED,M3_PoC_Schema,Shopping,1,Manual schema coding (M2/M3)
Category 31 — Voluntary Changes,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Risk,MNAR,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
Category 33 — Voluntary Refunds,ATPCO (composite),Industry Schema,Revenue Management,Carrier,Carrier,Risk/Cost,Risk,MNAR,M3_PoC_Schema,Order Management,1,Manual schema coding (M2/M3)
