ItinID,SeqNum,Coupons,Quarter,Origin,OriginCountry,Dest,DestCountry,TkCarrier,OpCarrier,RPCarrier,Passengers,FareClass,Distance,Gateway,ItinGeoType,CouponGeoType
202311494304,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311395979,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311479092,3,3,1,EWR,US,MCO,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311381557,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311386754,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,1,2
202311381506,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311383954,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381715,3,3,1,RSW,US,EWR,US,B6,B6,B6,1.0,Y,1068.0,0.0,2,2
202311361576,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311538802,3,3,1,EWR,US,TPA,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311387512,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311404933,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311381340,3,3,1,LAX,US,EWR,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311381566,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311462514,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311459492,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311342189,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311493521,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311525749,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311365978,3,3,1,EWR,US,LAX,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311381567,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311423399,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311494306,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311395980,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311333614,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311379712,3,3,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311467285,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311383965,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381646,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311395984,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311381770,3,3,1,SJU,US,EWR,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311525752,3,3,1,EWR,US,SJU,US,B6,B6,B6,1.0,Y,1608.0,0.0,1,1
202311385699,3,3,1,PBI,US,EWR,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311393318,3,3,1,EWR,US,FLL,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311494872,3,3,1,EWR,US,PBI,US,B6,B6,B6,1.0,Y,1023.0,0.0,2,2
202311342193,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311359701,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311384810,3,3,1,MCO,US,EWR,US,B6,B6,B6,3.0,Y,937.0,0.0,2,2
202311475564,3,3,1,EWR,US,MCO,US,B6,B6,B6,1.0,Y,937.0,0.0,2,2
202311341063,3,3,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311383411,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311383600,3,3,1,TPA,US,EWR,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311385650,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311383956,3,3,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,2,2
202311495363,3,3,1,EWR,US,PBI,US,B6,B6,B6,2.0,Y,1023.0,0.0,2,2
202311457809,3,3,1,EWR,US,LAX,US,B6,B6,B6,2.0,Y,2454.0,0.0,2,2
202311537965,3,3,1,EWR,US,TPA,US,B6,B6,B6,1.0,Y,997.0,0.0,2,2
202311381552,3,3,1,MIA,US,EWR,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311483832,3,3,1,EWR,US,MIA,US,B6,B6,B6,1.0,Y,1085.0,0.0,2,2
202311380645,4,4,1,FLL,US,EWR,US,B6,B6,B6,1.0,Y,1065.0,0.0,1,2
202311462371,4,4,1,LAX,US,EWR,US,B6,B6,B6,1.0,Y,2454.0,0.0,2,2
202311379646,4,4,1,BOS,US,EWR,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311382929,4,4,1,MCO,US,EWR,US,B6,B6,B6,1.0,Y,937.0,0.0,1,2
202311330796,4,4,1,EWR,US,BOS,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
202311382629,4,4,1,BOS,US,EWR,US,B6,B6,B6,1.0,Y,200.0,0.0,2,2
