Model,Test_Accuracy,Test_F1,Test_ROC_AUC,CV_F1_Mean,CV_F1_Std,CV_AUC_Mean,CV_AUC_Std,Train_F1,TrainTest_Gap,Selected_Final
Logistic Regression,0.8571428571428571,0.8689655172413793,0.8899363925488414,0.901434934667838,0.022713585102581535,0.94781238811314,0.019499762475918923,0.9210775417057475,0.052112024464368245,True
Random Forest,0.8571428571428571,0.8671328671328671,0.9215129486597002,0.890811429127164,0.026493742745937254,0.9592488363766559,0.019345463790568333,0.9545088370128354,0.08737596987996832,False
Gradient Boosting,0.8571428571428571,0.8689655172413793,0.8942526124488869,0.9195697212585816,0.019431684484085023,0.962548335123523,0.010793563494164903,0.9732513579777624,0.10428584073638314,False
