YEAR,MONTH,CARRIER,CARRIER_ID,CARRIER_WAC,ORIGIN,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_WAC,DEST,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,DATA_SOURCE,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,CARRIER_WAC2
2023,8,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",PD,71040,0,336,F,4,482,1,277,0,5178791,20498,17908,0,0,0,0,900,
2023,7,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",13Q,71093,0,348,L,6,636,1,2,0,2798,7,5,0,0,0,0,900,
2023,8,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,673,1,63,0,1376298,4788,4094,0,0,0,0,900,
2023,8,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,638,1,135,0,3071251,10260,9036,0,0,0,0,900,
2023,8,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,629,1,1,0,15000,50,44,0,0,0,0,900,
2023,8,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,677,1,13,14,248196,910,839,0,0,1339,787,10,
2023,8,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",G7,07041,2,348,F,6,530,1,4,4,70440,200,183,0,0,368,236,10,
2023,9,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",PD,71040,0,336,F,4,482,1,239,0,4468343,17686,13992,0,0,0,0,900,
2023,9,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",AC,9900A,0,348,F,6,614,1,1,0,38465,169,169,0,0,0,0,900,
2023,9,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,673,1,199,214,4338797,14530,11990,0,0,19881,12852,10,
2023,9,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,677,1,35,40,668220,2450,2032,0,0,3591,2319,10,
2023,9,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",G7,07041,2,348,F,6,530,1,1,1,17610,50,41,0,0,90,58,10,
2023,10,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",PD,71040,0,336,F,4,482,1,279,0,5216182,20646,15722,0,0,0,0,900,
2023,9,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,638,1,21,0,477750,1596,1307,0,0,0,0,900,
2023,10,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",SY,16795,2,348,L,6,614,1,1,0,45535,186,44,0,0,100,61,10,
2023,10,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,673,1,215,0,4696890,16340,11798,0,0,0,0,900,
2023,10,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,677,1,41,41,782772,2870,2634,0,0,3860,2571,10,
2023,11,YTZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",PD,71040,0,336,F,4,482,1,254,0,4748784,18796,15071,0,0,0,0,900,
2023,11,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,673,1,171,0,3735666,12996,10614,0,0,0,0,900,
2023,11,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,638,1,30,0,682499,2280,1802,0,0,0,0,900,
2023,11,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,677,1,61,61,1164612,4270,3834,0,0,5680,3591,10,
2023,12,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",DL,01260,3,348,L,6,622,1,1,0,49760,199,58,0,0,93,60,10,
2023,12,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",KAQ,16683,3,348,P,8,819,2,1,0,480900,0,0,84803,0,100,75,10,
2023,12,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,673,1,182,0,3975972,13832,10830,0,0,0,0,900,
2023,12,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",QK,9900G,0,348,F,6,638,1,33,0,750750,2508,1754,0,0,0,0,900,
2023,12,YYZ,36106.0,936,"Toronto, Canada",EWR,31703.0,21,"Newark, NJ",YX,06003,3,348,F,6,677,1,38,38,725496,2660,2375,0,0,3750,2298,10,
